PlantCode,Biom/flwr,PlantName,LifeForm,LifeForm_Sneha,FlowerForm,FlowerForm_Sneha,FunctExclusion,ExclusionFeeble,ExclusionTubeClass,ExclusionTubePlantCode,generalShapeExclusion,SpecialistPollinators,SpecialistVectorsTBE,ExclusionClosed,ExclusionVisibility,EXVisible_Sneha,ExclusionPendant,ExclusionDiel,EXDiel_Sneha,ExclusionHandling,EXHandle_Sneha,ExclusionPlatform,ExclusionEtc,EdaphicCommunity,Compatibility,ImmigrationTraits
CONVNYCT,85.05,Convolvulus nyctagineus,taprooted perennial,P,exclusion (tube),exclusion,include only long-tongued and Bombus,strong,tube-flare->17,5,moderate exclusion,none,,open access,bright,bright,erect,morning only,nonight,average,okay,not useful,none,talus,NA,standard
SENEINTE,4.41,Senecio integerrimus,herbaceous perennial,P,"exclusion (tubular, nocturnal+)",exclusion,include only long-tongued and Bombus,strong,tube-narrow-4,6,close to bowl,fall composites,Comp,open access,bright,bright,erect,diurnal only,nonight,average,okay,weak,none,deep soil,NA,wind
HIERCYNO,4.19265,Hieracium cynoglossoides,taprooted perennial,P,"exclusion (tube, time)",exclusion,include only long-tongued,strong,tube-narrow-4,6,close to bowl,none,,open access,bright,bright,erect,morning only,nonight,average,okay,not useful,none,deep soil,NA,wind
TARAOFFI,3.4,Taraxacum officinale,taprooted perennial,P,"exclusion (tube, time)",exclusion,include only long-tongued,strong,tube-narrow-9,6,close to bowl,none,,open access,bright,bright,erect,morning only,nonight,average,okay,not useful,none,deep soil,apomictic,wind
AGOSAURA,8.505,Agoseris aurantiaca,taprooted perennial,P,"exclusion (tube,time)",exclusion,include only long-tongued,strong,tube-narrow-5,6,close to bowl,fall composites,Comp,open access,bright,bright,erect,morning only,nonight,average,okay,not useful,none,deep soil,NA,wind
LUINSTRI,868.219,Luina stricta,herbaceous perennial,P,"exclusion (tube, nocturnal+)",exclusion,include only long-tongued,strong,tube-narrow-5,6,close to bowl,fall composites,,open access,bright,bright,erect,nocturnal also,yesnight,average,okay,not useful,none,seep,NA,wind
PLATDILI,0.4,Platanthera dilatata,herbaceous perennial,P,"exclusion (tube, nocturnal+)",exclusion,include only long-tongued,feeble,tube-narrow-14,7,poor exclusion,none,,open access,bright,bright,erect,nocturnal also,yesnight,huge,difficult,not useful,nototribic,seep,self-compatible,standard
SOLICANA,483.84,Solidago canadensis,herbaceous perennial,P,"exclusion (tubular, nocturnal+)",exclusion,include only long-tongued and Bombus,strong,tube-narrow-10,7,poor exclusion,fall composites,"Comp, Colletes",open access,bright,bright,erect,nocturnal also,yesnight,huge,difficult,weak,none,deep soil,self-incompatible,wind
VALESCOU,2.8,Valeriana scouleri,herbaceous perennial,P,bowl or platform,bowl/platform,exclude none,strong,tube-supernarrow-<10,8,severe exclusion,none,,open access,bright,bright,erect,diurnal only,nonight,average,okay,platform,none,seep,NA,standard
ACHIMILL,47.64375,Achillea millefolium,herbaceous perennial,P,bowl or platform,bowl/platform,exclude none,strong,tube-supernarrow-5,8,severe exclusion,none,,open access,bright,bright,erect,nocturnal also,yesnight,average,okay,platform,none,deep soil,self-incompatible,standard
LOTUMICR,0.15435,Lotus micranthus,annual,A,exclusion (closed),exclusion,include all forcers,feeble,tube-thin-5,10,poor exclusion,none,,closed,bright,bright,erect,diurnal only,nonight,average,okay,not useful,none,seep,self-compatible,standard
LOTUNEVA,0.22754,Lotus nevadensis,herbaceous perennial,P,exclusion (closed),exclusion,include all forcers,strong,tube-thin-5,10,poor exclusion,legumes,Osmia,open access,bright,bright,erect,diurnal only,nonight,average,okay,not useful,none,shallow soil,self-incompatible,standard
MADIMINI,0.015,Madia minima,annual,A,exclusion (tiny),exclusion,exclude none,feeble,tube-thin-1,10,poor exclusion,none,,open access,bright,bright,erect,diurnal only,nonight,average,okay,not useful,none,deep soil,self-compatible,wind
COLLPARV,0.01771875,Collinsia parviflora,annual,A,exclusion (tiny),exclusion,exclude none,feeble,tube-thin-2.5,10,poor exclusion,closed,Osmia,closed,bright,bright,erect,diurnal only,nonight,average,okay,not useful,nototribic,shallow soil and talus,self-compatible,standard
NAVADIVA,0.04165875,Navarretia divaricata,annual,A,exclusion (tiny) & exclusion (thin tubular),exclusion,"include all tiny, but only long-tongued",feeble,tube-thin-2.5,10,poor exclusion,none,,open access,bright,bright,erect,diurnal only,nonight,average,okay,not useful,none,deep soil,self-compatible,standard
PHLOGRAC,0.08505,Phlox gracilis,annual,A,exclusion (tiny) & exclusion (thin tubular),exclusion,"include all tiny, but only long-tongued",feeble,tube-thin-2.5,10,poor exclusion,none,,open access,bright,bright,erect,diurnal only,nonight,average,okay,not useful,none,seep,self-compatible,standard
ANAPMARG,7.1442,Anaphalis margaritacea,herbaceous perennial,P,exclusion (tube),exclusion,include all tiny,strong,tube-thin-2,10,poor exclusion,Anaphalis,Vanessa virginiensis,open access,bright,bright,erect,diurnal only,nonight,average,okay,platform,none,deep soil,self-incompatible,wind
ASTELEDO,16.3296,Aster ledophyllus,herbaceous perennial,P,exclusion+,exclusion,exclude none,strong,tube-thin-5,10,poor exclusion,fall composites,Comp,open access,bright,bright,erect,diurnal only,nonight,average,okay,weak,none,deep soil,self-incompatible,standard
